day,exercise,reading
2023-02-03,FALSE,FALSE
2023-02-02,FALSE,FALSE
2023-02-01,TRUE,FALSE
2023-01-31,FALSE,FALSE
2023-01-30,FALSE,FALSE
2023-01-29,FALSE,TRUE
2023-01-28,TRUE,TRUE
2023-01-27,FALSE,FALSE
2023-01-26,FALSE,TRUE
2023-01-25,TRUE,TRUE
2023-01-24,FALSE,TRUE
2023-01-23,FALSE,FALSE
2023-01-22,FALSE,FALSE
2023-01-21,TRUE,FALSE
2023-01-20,TRUE,FALSE
2023-01-19,TRUE,TRUE
2023-01-18,FALSE,TRUE
2023-01-17,TRUE,TRUE
2023-01-16,FALSE,FALSE
2023-01-15,FALSE,FALSE
2023-01-14,TRUE,TRUE
2023-01-13,TRUE,TRUE
2023-01-12,FALSE,TRUE
2023-01-11,TRUE,TRUE
2023-01-10,TRUE,FALSE
2023-01-09,FALSE,TRUE
2023-01-08,FALSE,TRUE
2023-01-07,FALSE,FALSE
2023-01-06,TRUE,TRUE
2023-01-05,TRUE,TRUE
2023-01-04,TRUE,TRUE
2023-01-03,TRUE,TRUE
2023-01-02,FALSE,FALSE
2023-01-01,FALSE,TRUE
